65,2100,3100,2,1.00,apr16
80,2150,3250,4,1.04,apr16
100,2250,3450,7,1.07,apr16
125,2350,3500,9,1.12,apr16
150,2550,3650,11.5,1.20,apr16
175,2850,3650,14,1.33,apr16
200,3200,3000,16,1.43,apr11
214,3100,3850,17.375,1.33,apr10
225,3150,3950,17.5,1.35,extrapolated apr10
250,3250,4000,18,1.38,extrapolated apr10
