65,2250,5500,1,1.08,shedW2
100,2450,5500,8,1.03,shedW2
120,2600,5600,11,1.12,shedW2
155,2800,5800,19,1.15,shedW2 tower
175,2900,5800,18,1.16,shedW2
200,3075,5950,22,1.32,shedW2
225,2700,4500,23,1.16,week1
250,2850,4500,23,1.23,week1
